staging_id,investor,invested_amount,invested_equity,invested_debt
428,Aman,25.0,2.0,41.66
428,Ritesh,25.0,2.0,41.66
428,Radhika Gupta,25.0,2.0,41.66
429,Aman,100.0,10.0,
430,Namita,33.33,0.5,
430,Aman,33.33,0.5,
430,Ritesh,33.33,0.5,
434,Amit,40.0,2.0,40.0
435,Namita,50.0,1.32,50.0
436,Vineeta,0.0025,0.2,
436,Anupam,0.0025,0.2,
436,Aman,0.0025,0.2,
436,Peyush,0.0025,0.2,
436,Ritesh,0.0025,0.2,
437,Aman,30.0,0.5,25.0
437,Ritesh,30.0,0.5,25.0
438,Vineeta,20.0,1.0,30.0
441,Anupam,50.0,5.0,50.0
442,Ritesh,75.0,5.0,75.0
443,Namita,20.0,4.0,20.0
443,Vineeta,20.0,4.0,20.0
445,Aman,20.0,1.0,20.0
445,Amit,20.0,1.0,20.0
446,Namita,25.0,1.25,10.0
446,Aman,25.0,1.25,10.0
448,Aman,20.0,0.67,80.0
449,Ritesh,40.0,3.0,35.0
450,Ritesh,80.0,1.0,
452,Namita,36.0,2.0,
452,Ritesh,36.0,2.0,
454,Vineeta,50.0,5.0,
454,Peyush,50.0,5.0,
455,Namita,75.0,15.0,
456,Anupam,25.0,5.0,25.0
456,Peyush,25.0,5.0,25.0
457,Vineeta,25.0,2.0,
457,Ritesh,25.0,2.0,
459,Ritesh,30.0,2.5,30.0
463,Anupam,33.33,1.33,
463,Aman,33.33,1.33,
463,Ritesh,33.33,1.33,
464,Ritesh,50.0,10.0,
469,Namita,25.0,1.0,12.5
469,Aman,25.0,1.0,12.5
470,Namita,20.0,0.64,
470,Vineeta,20.0,0.64,
470,Anupam,20.0,0.64,
470,Aman,20.0,0.64,
470,Amit,20.0,0.64,
473,Namita,25.0,1.0,
473,Vineeta,25.0,1.0,
473,Anupam,25.0,1.0,
473,Azhar Iqubal,25.0,1.0,
476,Aman,12.5,4.0,
476,Radhika Gupta,12.5,4.0,
477,Namita,40.0,0.8,
477,Anupam,40.0,0.8,
477,Aman,40.0,0.8,
477,"Azhar Iqubal,Radhika Gupta",80.0,1.6,
479,Namita,50.0,0.75,
479,Aman,50.0,0.75,
480,Namita,100.0,2.0,
482,Ritesh,50.0,2.5,
482,Kunal Bahl,50.0,2.5,
483,Ritesh,150.0,1.5,
483,Kunal Bahl,150.0,1.5,
485,Peyush,500.0,51.0,
486,Aman,100.0,1.5,
488,Aman,50.0,5.0,
489,Vineeta,50.0,1.85,
489,Aman,50.0,1.85,
491,Aman,33.333,1.4,
491,Ritesh,33.333,1.4,
491,Azhar Iqubal,33.333,1.4,
493,Kunal Bahl,250.0,10.0,
494,Ritesh,75.0,1.15,25.0
495,Namita,80.0,4.0,
497,Ritesh,66.66,2.0,
497,"Kunal Bahl,Azhar Iqubal",133.33,4.0,
498,Ritesh,50.0,12.5,
503,Vineeta,50.0,1.25,50.0
505,Namita,15.0,10.0,
508,Namita,35.0,1.5,
508,Ritesh,35.0,1.5,
509,Aman,50.0,1.5,
511,Namita,35.0,0.75,
511,Ritesh,35.0,0.75,
512,Ritesh,100.0,0.8,200.0
513,Anupam,90.0,6.5,
514,Namita,20.0,1.333,
514,Aman,20.0,1.333,
514,Ritesh,20.0,1.333,
517,Vineeta,25.0,0.5,
517,Peyush,25.0,0.5,
517,Varun Dua,25.0,0.5,
518,Peyush,50.0,10.0,
519,Aman,33.333,2.666,
519,Peyush,33.333,2.666,
519,Varun Dua,33.333,2.666,
520,Aman,30.0,2.0,
520,Ritesh,30.0,2.0,
522,Anupam,50.0,2.27,
523,Namita,25.0,1.0,
524,Vineeta,50.0,4.0,
525,Anupam,50.0,10.0,
526,Namita,25.0,0.5,25.0
526,Ritesh,25.0,0.5,25.0
528,Aman,80.0,6.0,
529,Vineeta,80.0,4.444,
529,Anupam,80.0,4.444,
