staging_id,company,season,episode_number,pitch_number,season_start,season_end,original_air_date,episode_title,anchor,sector,business_description,company_website,started_in,founder_count,male_presenters,female_presenters,transgender_presenters,couple_presenters,pitchers_average_age,pitchers_city,pitchers_state,yearly_revenue,monthly_sales,gross_margin,net_margin,ebitda,cash_burn,skus,has_patents,bootstrapped,part_of_match_off,asked_amount,equity_asked,valuation_requested,received_offer,accepted_offer,invested_amount,equity_final,total_deal_debt,deal_valuation,number_of_sharks_in_deal,deal_has_conditions,royalty_percentage,royalty_recouped_amount,advisory_shares_equity,namita_present,vineeta_present,anupam_present,aman_present,peyush_present,ritesh_present,amit_present,guest_present
164,Brandsdaddy,Season 2,4,164,2023-01-02,2023-03-10,2023-01-05,Ideas Meets Opportunity,Rahul Dua,Manufacturing,Auto Fire Extinguisher,https://www.brandsdaddy.com/,,2,1.0,1.0,,1,,Mumbai,Maharashtra,,12.0,60.0,,,,,0,0,0,70.0,5.0,1400.0,1,1,35.0,5.0,35.0,700.0,1.0,0,,,,1,1,1,1,1,0,0,0
165,Winston,Season 2,5,165,2023-01-02,2023-03-10,2023-01-06,Investing in the Future of India,Rahul Dua,Beauty/Fashion,Techno beauty products at home,https://winstonindia.com/,,2,1.0,1.0,,1,,Faridabad,Haryana,,46.0,,,,,,0,0,0,100.0,4.0,2500.0,1,1,100.0,10.0,,1000.0,2.0,0,,,,1,1,1,1,1,0,0,0
166,Flatheads,Season 2,5,166,2023-01-02,2023-03-10,2023-01-06,Investing in the Future of India,Rahul Dua,Beauty/Fashion,Shoes Sneakers Loafers,https://www.flatheads.in/,2019,1,1.0,,,0,,Bangalore,Karnataka,,,,,,,,0,0,0,75.0,3.0,2500.0,1,0,,,,,,0,,,,1,1,1,1,1,0,0,0
167,OrganicSmokes,Season 2,5,167,2023-01-02,2023-03-10,2023-01-06,Investing in the Future of India,Rahul Dua,Beauty/Fashion,Organic Cigarettes Cigarillos Smokes,https://www.meaame.com/,,3,3.0,,,0,,Delhi,Delhi,,40.0,,,,,,0,0,0,100.0,1.0,10000.0,0,,,,,,,0,,,,1,1,1,1,1,0,0,0
168,TeaFit,Season 2,6,168,2023-01-02,2023-03-10,2023-01-09,Determined Entrepreneurs,Rahul Dua,Food and Beverage,Refreshing beverages,http://tea.fit/,,3,2.0,1.0,,0,,Mumbai,Maharashtra,,,,,,,,0,0,0,50.0,3.0,1666.666667,1,1,50.0,8.0,,625.0,4.0,0,,,,1,1,1,1,1,0,0,0
169,Haqdarshak,Season 2,6,169,2023-01-02,2023-03-10,2023-01-09,Determined Entrepreneurs,Rahul Dua,Business Services,Platform to know about welfare schemes for MSMEs,https://haqdarshak.com/,,2,1.0,1.0,,0,,Shimla,Himachal Pradesh,,,,,,,,0,0,0,100.0,0.5,20000.0,1,1,100.0,2.0,,5000.0,3.0,0,,,,1,1,1,1,1,0,0,0
170,Bhaskar'sPuranpoliGhar,Season 2,6,170,2023-01-02,2023-03-10,2023-01-09,Determined Entrepreneurs,Rahul Dua,Food and Beverage,Varieties of Puranpoli snacks,http://bhaskarspuranpolighar.in/,,3,3.0,,,0,,Thane,Maharashtra,,,,,,,,0,0,0,75.0,1.0,7500.0,0,,,,,,,0,,,,1,1,1,1,1,0,0,0
171,GunjanAppsStudios,Season 2,7,171,2023-01-02,2023-03-10,2023-01-10,Shaandar Businesses,Rahul Dua,Technology/Software,CHILDREN'S PLAYFUL LEARNING PARTNER,https://gunjanappstudios.com/,,2,1.0,1.0,,1,,Kolkata,West Bengal,2400.0,,,,,,,0,0,0,250.0,1.0,25000.0,0,,,,,,,0,,,,1,1,1,1,1,0,0,0
172,TheSimplySalad,Season 2,7,172,2023-01-02,2023-03-10,2023-01-10,Shaandar Businesses,Rahul Dua,Food and Beverage,Freshly chopped salads,https://simplysalad.com/,,2,1.0,1.0,,0,,Ahmedabad,Gujarat,,,,,,,,0,0,0,30.0,10.0,300.0,1,1,30.0,10.0,,300.0,2.0,0,,,,1,1,1,1,1,0,0,0
173,AyuSynk,Season 2,7,173,2023-01-02,2023-03-10,2023-01-10,Shaandar Businesses,Rahul Dua,Medical/Health,Digital Stethoscopes,https://www.ayudevices.com/,,3,3.0,,,0,,Mumbai,Maharashtra,,,,,,,,0,0,0,100.0,1.5,6666.666667,1,1,50.0,3.5,50.0,1428.571429,1.0,0,,,,1,1,1,1,1,0,0,0
174,AtypicalAdvantage,Season 2,8,174,2023-01-02,2023-03-10,2023-01-11,Investment with Intent,Rahul Dua,Technology/Software,Platform for persons with disabilities,https://atypicaladvantage.in/,,1,1.0,,,0,,Jamshedpur,Jharkhand,,,,,,,,0,0,0,30.0,1.0,3000.0,1,1,30.0,3.0,,1000.0,2.0,0,,,,1,1,1,1,1,0,0,0
175,HouseOfChikankari,Season 2,8,175,2023-01-02,2023-03-10,2023-01-11,Investment with Intent,Rahul Dua,Beauty/Fashion,HANDMADE BY ARTISANS OF LUCKNOW,https://www.houseofchikankari.in/,2020,2,,2.0,,0,,Delhi,Delhi,,,,,,,,0,0,0,75.0,1.0,7500.0,1,1,75.0,3.75,,2000.0,2.0,0,,,,1,1,1,1,1,0,0,0
176,MagicOfMemories,Season 2,8,176,2023-01-02,2023-03-10,2023-01-11,Investment with Intent,Rahul Dua,Beauty/Fashion,DNA Jewllery,https://www.themagicofmemories.com/,,1,,1.0,,0,,Delhi,Delhi,,,,,,,,0,0,0,25.0,5.0,500.0,0,,,,,,,0,,,,1,1,1,1,1,0,0,0
177,Paradyes,Season 2,9,177,2023-01-02,2023-03-10,2023-01-12,Invest In Lifestyle,Rahul Dua,Beauty/Fashion,Semi Permanent Hair Color,https://www.birdsofparadyes.com/,2020,2,1.0,1.0,,1,,Ahmedabad,Gujarat,350.0,,,,,,,0,0,0,65.0,1.0,6500.0,1,1,65.0,2.0,,3250.0,2.0,0,,,,1,1,1,1,1,0,0,0
178,Nestroots,Season 2,9,178,2023-01-02,2023-03-10,2023-01-12,Invest In Lifestyle,Rahul Dua,Lifestyle/Home,"House of design, aesthetics and elegance",https://www.nestroots.com/,,1,,1.0,,0,,Delhi,Delhi,,,,,,,,0,0,0,50.0,1.0,5000.0,1,1,50.0,2.0,,2500.0,1.0,0,,,,1,1,1,1,1,0,0,0
179,Zillionaire,Season 2,10,179,2023-01-02,2023-03-10,2023-01-13,Zillionaire Banne Ki Chah,Rahul Dua,Beauty/Fashion,Unique styles of stones and jewels,https://zillionaireindia.com/,,2,2.0,,,0,,Jaipur,Rajasthan,100.0,,,,,,,0,0,0,50.0,3.3,1515.151515,1,1,100.0,10.0,,1000.0,1.0,0,,,,1,1,1,1,1,0,0,0
180,Credmate,Season 2,10,180,2023-01-02,2023-03-10,2023-01-13,Zillionaire Banne Ki Chah,Rahul Dua,Technology/Software,Platform for credit score,https://credmate.in/,,2,2.0,,,0,,Ludhiana,Punjab,,130.0,,,,,,0,0,0,50.0,5.0,1000.0,0,,,,,,,0,,,,1,1,1,1,1,0,0,0
181,Freebowler,Season 2,10,181,2023-01-02,2023-03-10,2023-01-13,Zillionaire Banne Ki Chah,Rahul Dua,Fitness/Sports/Outdoors,Non-Electric & Portable Bowling Machines,https://freebowler.com/,,2,2.0,,,0,,Bangalore,Karnataka,,,,,,,,0,0,0,75.0,7.5,1000.0,1,1,25.0,7.5,50.0,333.3333333,1.0,0,,,,1,1,1,1,1,0,0,0
182,ABCSports&Fitness,Season 2,11,182,2023-01-02,2023-03-10,2023-01-16,Investing The Right Way,Rahul Dua,Fitness/Sports/Outdoors,Sports training institute,https://www.abcfitnessfirm.com/,,2,2.0,,,0,,Pune,Maharashtra,,,,,,,,0,0,0,40.0,2.0,2000.0,1,1,40.0,10.0,,400.0,1.0,0,,,,1,1,1,1,1,0,0,0
183,Primebook,Season 2,11,183,2023-01-02,2023-03-10,2023-01-16,Investing The Right Way,Rahul Dua,Technology/Software,Android Apps on Windows laptops,https://www.primebook.in/,,4,4.0,,,0,,Delhi,Delhi,,,,,,,,0,0,0,75.0,1.5,5000.0,1,1,75.0,3.0,,2500.0,2.0,0,,,,1,1,1,1,1,0,0,0
184,DailyDump,Season 2,11,184,2023-01-02,2023-03-10,2023-01-16,Investing The Right Way,Rahul Dua,Manufacturing,Compost Bins,https://www.dailydump.org/,2006,2,1.0,1.0,,0,,Bangalore,Karnataka,,,,,,,,0,0,0,80.0,4.0,2000.0,1,1,30.0,4.0,50.0,750.0,1.0,0,,,,1,1,1,1,1,0,0,0
185,GharSoaps,Season 2,12,185,2023-01-02,2023-03-10,2023-01-17,Pitchers Ki Undying Spirit,Rahul Dua,Beauty/Fashion,Pure Organic Soaps,https://www.gharsoaps.shop/,,2,2.0,,,0,,Pune,Maharashtra,,,,,,,,0,0,0,60.0,2.0,3000.0,1,1,60.0,4.0,,1500.0,1.0,0,,,,1,0,1,1,1,0,1,0
186,Janitri,Season 2,12,186,2023-01-02,2023-03-10,2023-01-17,Pitchers Ki Undying Spirit,Rahul Dua,Medical/Health,Pregnancy Monitoring systems,https://www.janitri.in/,2021,1,1.0,,,0,,Alwar,Rajasthan,,,,,,,,0,0,0,100.0,2.5,4000.0,1,1,100.0,2.5,,4000.0,1.0,0,,,,1,0,1,1,1,0,1,0
187,JaipurWatchCompany,Season 2,12,187,2023-01-02,2023-03-10,2023-01-17,Pitchers Ki Undying Spirit,Rahul Dua,Manufacturing,Made in India Imperial Automatic Watches,https://jaipur.watch/,,1,1.0,,,0,,Jaipur,Rajasthan,,,75.0,,,,,0,0,0,50.0,2.0,2500.0,0,,,,,,,0,,,,1,0,1,1,1,0,1,0
188,InsideFPV,Season 2,13,188,2023-01-02,2023-03-10,2023-01-18,Up And Coming Business Ideas,Rahul Dua,Manufacturing,Plug and Fly Drones,https://www.insidefpv.com/,,3,2.0,1.0,,0,,Surat,Gujarat,,,,,,,,0,0,0,75.0,4.0,1875.0,1,1,75.0,15.0,,500.0,4.0,0,,,,1,0,1,1,1,0,1,0
189,Angrakhaa,Season 2,13,189,2023-01-02,2023-03-10,2023-01-18,Up And Coming Business Ideas,Rahul Dua,Beauty/Fashion,Contemporary Indian clothing,https://www.angrakhaa.com/,,2,,2.0,,0,,Delhi,Delhi,,,,,,,,0,0,0,40.0,5.0,800.0,1,1,40.0,20.0,,200.0,1.0,0,,,,1,0,1,1,1,0,1,0
190,Diabexy,Season 2,13,190,2023-01-02,2023-03-10,2023-01-18,Up And Coming Business Ideas,Rahul Dua,Food and Beverage,Diabetes Friendly Food Products,https://diabexy.com/,2016,2,1.0,1.0,,1,,Gurgaon,Haryana,,100.0,,,,,,0,0,0,150.0,1.0,15000.0,1,0,,,,,,0,,,,1,0,1,1,1,0,1,0
191,Kyari,Season 2,14,191,2023-01-02,2023-03-10,2023-01-19,Investment Worthy Ideas,Rahul Dua,Manufacturing,Smart stick Guardian,https://kyari.in/,2018,2,1.0,1.0,,0,,Ghaziabad,Uttar Pradesh,,10.0,,,,,,0,0,0,51.0,1.0,5100.0,1,1,51.0,6.0,,850.0,2.0,0,,,,1,0,1,1,1,0,1,0
192,MoppFoods,Season 2,14,192,2023-01-02,2023-03-10,2023-01-19,Investment Worthy Ideas,Rahul Dua,Food and Beverage,Mad over Parathas Pakodas,https://moppfoods.com/,,2,1.0,1.0,,1,,Delhi,Delhi,,,,,,,,0,0,0,75.0,2.25,3333.333333,1,1,75.0,5.0,,1500.0,1.0,0,,,,1,0,1,1,1,0,1,0
193,Econiture,Season 2,14,193,2023-01-02,2023-03-10,2023-01-19,Investment Worthy Ideas,Rahul Dua,Green/CleanTech,Furniture from plastic waste,https://www.econiture.com/,,4,4.0,,,0,,Amaravati,Maharashtra,,,,,,,,0,0,0,50.0,8.0,625.0,0,,,,,,,0,,,,1,0,1,1,1,0,1,0
194,Dobiee,Season 2,15,194,2023-01-02,2023-03-10,2023-01-20,Changing The Face Of Indian Entrepreneurship,Rahul Dua,Food and Beverage,CANDIES MUSKIEE TOYS,https://www.dobiee.com/,2021,2,2.0,,,0,,Shinde,Maharashtra,,32.0,23.0,,,,,0,0,0,72.0,2.0,3600.0,1,1,72.0,6.5,,1107.692308,1.0,0,,,,1,0,1,1,1,0,1,0
195,FastBeetle,Season 2,15,195,2023-01-02,2023-03-10,2023-01-20,Changing The Face Of Indian Entrepreneurship,Rahul Dua,Business Services,Local courier and parcel service,https://www.fastbeetle.com/,2019,2,2.0,,,0,,Srinagar,Jammu & Kashmir,,25.0,54.0,,,,,0,0,0,90.0,3.0,3000.0,1,1,90.0,7.5,,1200.0,2.0,0,,,,1,0,1,1,1,0,1,0
196,Pflow,Season 2,15,196,2023-01-02,2023-03-10,2023-01-20,Changing The Face Of Indian Entrepreneurship,Rahul Dua,Medical/Health,Disposable uroflowmetry system,https://tejnaksh.com/our-domains/healthcare-equipment/p-flow/,2021,2,1.0,1.0,,1,,Dhule,Maharashtra,,,80.0,,,,,0,0,0,60.0,1.0,6000.0,1,1,60.0,6.0,,1000.0,2.0,0,,,,1,0,1,1,1,0,1,0
197,VSMani,Season 2,16,197,2023-01-02,2023-03-10,2023-01-23,Pitchers Ki Taiyyari,Rahul Dua,Food and Beverage,Coffee and snacks,https://vsmani.com/,2020,3,3.0,,,0,,Bangalore,Karnataka,,63.0,,,,,,0,0,0,60.0,1.5,4000.0,1,1,19.0,1.0,41.0,1900.0,1.0,0,,,,1,0,1,1,1,0,1,0
198,Sepal,Season 2,16,198,2023-01-02,2023-03-10,2023-01-23,Pitchers Ki Taiyyari,Rahul Dua,Manufacturing,Bike Accessories,https://sepal.in/,,2,2.0,,,0,,Hyderabad,Telangana,,,37.0,,,,,0,0,0,50.0,1.0,5000.0,1,1,50.0,2.0,,2500.0,1.0,0,,,,1,0,1,1,1,0,1,0
199,Solinas,Season 2,16,199,2023-01-02,2023-03-10,2023-01-23,Pitchers Ki Taiyyari,Rahul Dua,Business Services,"Products organise the management of pipelines,manholes and septic tanks",https://solinas.in/,2020,4,3.0,1.0,,0,,Chennai,Tamil Nadu,120.0,,,,,,,0,0,0,90.0,2.0,4500.0,1,1,90.0,3.0,,3000.0,2.0,0,,,,1,0,1,1,1,0,1,0
200,AvimeeHerbal,Season 2,17,200,2023-01-02,2023-03-10,2023-01-24,Innovation Hardwork And Diligence,Rahul Dua,Beauty/Fashion,Ayurveda hair skin products,https://avimeeherbal.com/,2021,5,3.0,2.0,,1,,Surat,Gujarat,,165.0,69.0,,,,,0,0,0,280.0,0.5,56000.0,1,0,,,,,,0,,,,1,0,1,1,1,0,1,0
201,eyenic,Season 2,17,201,2023-01-02,2023-03-10,2023-01-24,Innovation Hardwork And Diligence,Rahul Dua,Beauty/Fashion,Eyewear,https://eyenic.in/,2017,2,2.0,,,0,,Delhi,Delhi,,15.0,45.0,21.0,,,,0,0,0,75.0,6.0,1250.0,0,,,,,,,0,,,,1,0,1,1,1,0,1,0
202,ekatra,Season 2,17,202,2023-01-02,2023-03-10,2023-01-24,Innovation Hardwork And Diligence,Rahul Dua,Lifestyle/Home,Handmade paper goods,https://ekatrahandmade.com/,2019,2,,2.0,,0,,Kota,Rajasthan,,5.0,80.0,28.0,,,,0,0,0,40.0,10.0,400.0,1,1,20.0,20.0,20.0,100.0,2.0,0,,,,1,0,1,1,1,0,1,0
203,Raasa,Season 2,18,203,2023-01-02,2023-03-10,2023-01-25,Business Ideas With Potential,Rahul Dua,Food and Beverage,Food karts,,2022,1,1.0,,,0,,Delhi,Delhi,,,,,,,,0,0,0,50.0,5.0,1000.0,1,1,50.0,25.0,,200.0,1.0,0,,,,1,0,1,1,1,0,1,0
204,NeoMotion,Season 2,18,204,2023-01-02,2023-03-10,2023-01-25,Business Ideas With Potential,Rahul Dua,Manufacturing,Wheelchairs,https://www.neomotion.in/,2020,3,3.0,,,0,,Chennai,Tamil Nadu,470.0,,,,,,,0,0,0,100.0,1.0,10000.0,1,1,100.0,1.0,,10000.0,1.0,0,,,,1,0,1,1,1,0,1,0
205,licksters,Season 2,18,205,2023-01-02,2023-03-10,2023-01-25,Business Ideas With Potential,Rahul Dua,Food and Beverage,Icecreams ice-pops,https://www.licksters.com/,,2,1.0,1.0,,1,,Nagpur,Maharashtra,86.0,14.0,,,,,,0,0,0,50.0,5.0,1000.0,1,1,25.0,5.0,25.0,500.0,1.0,0,,,,1,0,1,1,1,0,1,0
206,Sayonara,Season 2,18,206,2023-01-02,2023-03-10,2023-01-25,Business Ideas With Potential,Rahul Dua,Beauty/Fashion,Petticoat,,,1,1.0,,,0,,Kolkata,West Bengal,0.0,,,,,,,1,0,0,100.0,1.0,10000.0,0,,,,,,,0,,,,1,0,1,1,1,0,1,0
207,PMV,Season 2,19,207,2023-01-02,2023-03-10,2023-01-26,Building Brands For India,Rahul Dua,Vehicles/Electrical Vehicles,Personal Mobility Vehicle,https://pmvelectric.com/,2018,1,1.0,,,0,,Mumbai,Maharashtra,0.0,,,,,,,0,0,0,100.0,1.0,10000.0,1,0,,,,,,0,,,,1,1,1,1,1,0,0,0
208,SpiceStory,Season 2,19,208,2023-01-02,2023-03-10,2023-01-26,Building Brands For India,Rahul Dua,Food and Beverage,Indian Sauces Chutneys,https://spice-story.in/,2019,3,2.0,1.0,,0,,Mumbai,Maharashtra,410.0,57.0,,,,,,0,0,0,70.0,2.0,3500.0,1,1,70.0,5.0,,1400.0,1.0,0,,,,1,1,1,1,1,0,0,0
